index,QT_VOTOS,QT_VOTOS_ESTIMADO,time
Jair Bolsonaro,51.36,49.801498927545964,2022-10-30 17:53:37.800832
Lula,48.64,50.198501072454036,2022-10-30 17:53:37.800832
Jair Bolsonaro,51.3,49.82388055094671,2022-10-30 17:55:01.843695
Lula,48.7,50.17611944905329,2022-10-30 17:55:01.843695
Jair Bolsonaro,51.27,49.81627577070259,2022-10-30 17:56:13.697091
Lula,48.73,50.18372422929741,2022-10-30 17:56:13.697091
Jair Bolsonaro,51.23,49.93091150780089,2022-10-30 17:57:27.480784
Lula,48.77,50.069088492199114,2022-10-30 17:57:27.480784
Jair Bolsonaro,51.17,49.9354326592289,2022-10-30 17:58:44.376725
Lula,48.83,50.0645673407711,2022-10-30 17:58:44.376725
Jair Bolsonaro,51.13,49.96892894511108,2022-10-30 18:00:05.227664
Lula,48.87,50.03107105488892,2022-10-30 18:00:05.227664
Jair Bolsonaro,51.1,50.00159857619727,2022-10-30 18:01:32.494685
Lula,48.9,49.99840142380273,2022-10-30 18:01:32.494685
Jair Bolsonaro,51.06,50.01528460511369,2022-10-30 18:02:40.563556
Lula,48.94,49.98471539488631,2022-10-30 18:02:40.563556
Jair Bolsonaro,51.06,50.07429020972035,2022-10-30 18:04:06.443653
Lula,48.94,49.92570979027964,2022-10-30 18:04:06.443653
Jair Bolsonaro,50.99,50.07316552179291,2022-10-30 18:05:30.160149
Lula,49.01,49.9268344782071,2022-10-30 18:05:30.160149
Jair Bolsonaro,50.91,50.068142484999356,2022-10-30 18:06:46.795629
Lula,49.09,49.931857515000644,2022-10-30 18:06:46.795629
Jair Bolsonaro,50.88,50.07795969470872,2022-10-30 18:08:15.147646
Lula,49.12,49.92204030529128,2022-10-30 18:08:15.147646
Jair Bolsonaro,50.84,50.08724417890457,2022-10-30 18:09:35.058626
Lula,49.16,49.91275582109543,2022-10-30 18:09:35.058626
Jair Bolsonaro,50.81,50.07474678351102,2022-10-30 18:11:00.930732
Lula,49.19,49.92525321648898,2022-10-30 18:11:00.930732
Jair Bolsonaro,50.78,50.07836754382369,2022-10-30 18:12:22.672734
Lula,49.22,49.92163245617631,2022-10-30 18:12:22.672734
Jair Bolsonaro,50.73,50.05208257382498,2022-10-30 18:13:38.795634
Lula,49.27,49.94791742617502,2022-10-30 18:13:38.795634
Jair Bolsonaro,50.7,50.05269943668492,2022-10-30 18:15:21.731124
Lula,49.3,49.94730056331508,2022-10-30 18:15:21.731124
Jair Bolsonaro,50.66,50.026503547257114,2022-10-30 18:16:42.634537
Lula,49.34,49.973496452742886,2022-10-30 18:16:42.634537
Jair Bolsonaro,50.61,50.03402109645835,2022-10-30 18:17:56.587707
Lula,49.39,49.96597890354165,2022-10-30 18:17:56.587707
Jair Bolsonaro,50.58,50.04726056707885,2022-10-30 18:19:24.483752
Lula,49.42,49.95273943292115,2022-10-30 18:19:24.483752
Jair Bolsonaro,50.54,50.05290384805324,2022-10-30 18:20:42.844599
Lula,49.46,49.947096151946766,2022-10-30 18:20:42.844599
Jair Bolsonaro,50.51,50.03154693046401,2022-10-30 18:22:01.105407
Lula,49.49,49.96845306953599,2022-10-30 18:22:01.105407
Jair Bolsonaro,50.43,49.98661468502913,2022-10-30 18:23:19.339653
Lula,49.57,50.01338531497087,2022-10-30 18:23:19.339653
Jair Bolsonaro,50.39,49.95805799492775,2022-10-30 18:24:30.331591
Lula,49.61,50.04194200507225,2022-10-30 18:24:30.331591
Jair Bolsonaro,50.39,49.972078083994255,2022-10-30 18:25:39.355723
Lula,49.61,50.027921916005745,2022-10-30 18:25:39.355723
Jair Bolsonaro,50.31,49.97195475409084,2022-10-30 18:27:04.555627
Lula,49.69,50.02804524590915,2022-10-30 18:27:04.555627
Jair Bolsonaro,50.3,49.96251244251877,2022-10-30 18:28:26.667603
Lula,49.7,50.03748755748124,2022-10-30 18:28:26.667603
Jair Bolsonaro,50.26,49.94276240519179,2022-10-30 18:29:48.907758
Lula,49.74,50.05723759480821,2022-10-30 18:29:48.907758
Jair Bolsonaro,50.23,49.92730590157377,2022-10-30 18:31:00.107756
Lula,49.77,50.07269409842623,2022-10-30 18:31:00.107756
Jair Bolsonaro,50.19,49.90828632259129,2022-10-30 18:32:24.692248
Lula,49.81,50.09171367740871,2022-10-30 18:32:24.692248
Jair Bolsonaro,50.18,49.90927201683097,2022-10-30 18:33:47.443600
Lula,49.82,50.09072798316903,2022-10-30 18:33:47.443600
Jair Bolsonaro,50.15,49.89326930466067,2022-10-30 18:34:57.387696
Lula,49.85,50.10673069533933,2022-10-30 18:34:57.387696
Jair Bolsonaro,50.12,49.87913094370819,2022-10-30 18:36:06.469120
